"Linear static analysis of 15ft Groovik's Cube (kips,in)",,,,,,,,,,,,
,,,,,,,,,,,,
# Joint data ?,,,,,,,,,,,,
66,# number of joints,,,,,,,,,,,
#joint,x,y,z,r,units: inches,,,,,,,
142,46,62,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
143,47,63,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
144,48,64,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
# bracing,,,,,,,,,,,,
145,1,64,0.08,0.001,0.001,0.001,0.02,0.02,30000,3800,0,7.33E-07
146,16,49,0.08,0.001,0.001,0.001,0.02,0.02,30000,3800,0,7.33E-07
147,61,4,0.08,0.001,0.001,0.001,0.02,0.02,30000,3800,0,7.33E-07
148,52,13,0.08,0.001,0.001,0.001,0.02,0.02,30000,3800,0,7.33E-07
149,50,14,0.08,0.001,0.001,0.001,0.02,0.02,30000,3800,0,7.33E-07
150,2,62,0.08,0.001,0.001,0.001,0.02,0.02,30000,3800,0,7.33E-07
151,51,15,0.08,0.001,0.001,0.001,0.02,0.02,30000,3800,0,7.33E-07
152,3,63,0.08,0.001,0.001,0.001,0.02,0.02,30000,3800,0,7.33E-07
# chain hoists,,,,,,,,,,,,
153,52,65,0.15,0.001,0.001,0.001,0.001,0.001,10000,3800,0,7.33E-07
154,61,66,0.15,0.001,0.001,0.001,0.001,0.001,10000,3800,0,7.33E-07
#155,49,67,0.15,0.001,0.001,0.001,0.001,0.001,10000,3800,0,7.33E-07
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
0,,#no shear deformation,,,,,,,,,,
0,,#no geometric stiffness,,,,,,,,,,
10,,#exaggerate mesh deformations,,,,,,,,,,
10,,#x-axis increment for internal forces,,,,,,,,,,
,,,,,,,,,,,,
1,,#number of static load cases,,,,,,,,,,
,,,,,,,,,,,,
# gravity,x,y,z,,,,,,,,,
,0,0,-1000,,,,,,,,,
,,,,,,,,,,,,
0,#number of loaded joints,,,,,,,,,,,
,,,,,,,,,,,,
0,#number of uniform loads,,,,,,,,,,,
0,#number of trapezoidal loads,,,,,,,,,,,
0,#number of internal concentrated loads,,,,,,,,,,,
8,#number of temperature loads,,,,,,,,,,,
#.elmnt  , coef.  ,y-depth , z-depth  ,deltaTy+ , deltaTy-  ,deltaTz+  ,deltaTz-,,,,,
145,2.36E-06,0.3125,0.3125,-1e-1,-1e-1,-1e-1,-1e-1,,,,,
146,2.36E-06,0.3125,0.3125,-1e-1,-1e-1,-1e-1,-1e-1,,,,,
147,2.36E-06,0.3125,0.3125,-1e-1,-1e-1,-1e-1,-1e-1,,,,,
148,2.36E-06,0.3125,0.3125,-1e-1,-1e-1,-1e-1,-1e-1,,,,,
149,2.36E-06,0.3125,0.3125,-5e1,-5e1,-5e1,-5e1,,,,,
150,2.36E-06,0.3125,0.3125,-5e1,-5e1,-5e1,-5e1,,,,,
151,2.36E-06,0.3125,0.3125,-5e1,-5e1,-5e1,-5e1,,,,,
152,2.36E-06,0.3125,0.3125,-5e1,-5e1,-5e1,-5e1,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
0,#number of support settlements,,,,,,,,,,,
,,,,,,,,,,,,
0,#number of desired dynamic modes,,,,,,,,,,,
